YEAR,FILM,DIRECTOR,CITY,STATE,COUNTRY,CATEGORY,AWARDS,THEMES,SYNOPSIS
2019,Unorganized Crime,Null,Los Angeles,CA,US,Short,None,Null,"Under-appreciated 'family' member Gino Corso is finally given an opportunity to prove himself worthy of New York's fifth largest crime syndicate. What transpires is a humorous tale of a family seeking common ground, and a loving wife torn between loyalty and survival."
2019,You Didn't Forget,Null,Postonja,Null,Slovenia,Short,None,Null,"An elderly woman's day is turned upside down when she sets out to find her missing husband, who's been struggling with memory loss."
2020,Effigy,Udo Flohr,Berlin,Null,Germany,Feature,None,Null,"1828 in the German port city of Bremen: Two very different women collide in an age that has no place for either of them. One strives for a career in law, at a time when women aren't even admitted to universities. The other has lived life outside the law and may now have to pay the tab. One of them needs to get her head together – while the other would do anything not to lose hers. --- Based on the true story of female serial killer Gesche Gottfried, and on original trial records."
2020,From the Vine,Sean Cisterna,Ontario,Null,Canada,Feature,Best Feature,Null,"From The Vine is the story of a downtrodden CEO experiencing a moral crisis that travels back to Italy to recalibrate his moral compass. He discovers new life by reviving his Nonno's old vineyard, offering the small town of Acerenza a sustainable future and reconnecting with his family in the process. Combining magic realism and Italian neorealism, and set against the backdrop of wine country Italy, the film is about finding your roots in your family when you're at the bottom of the barrel."
2020,Immortal,"John Dabach, Tom Colley, Danny Isaacs, Rob Margolies",West Hills,CA,US,Feature,None,Null,"IMMORTAL boasts career best performances from Tony Todd, Dylan Baker, Robin Bartlett, Samm Levine, and Agnes Bruckner. Thrown into the face of death only to emerge unharmed, the characters of Immortal are left staring at their lives in the face with uncertainty and fear like they've never imagined."
2020,Last Call,Gavin Michael Booth,Hollywood,CA,US,Feature,None,Null,"Shot in two true single takes, filmed simultaneously in two different parts of a city, Last Call, is a real time feature presented in split screen showcasing both ends of a wrong number phone call that has the potential to save a life. Last Call follows a suicidal alcoholic on the anniversary of his son’s death. When he attempts to call a crisis hotline, a misdial connects him with a single mother working as the night janitor at a local community college. The split screen feature showcases both characters in real-time as they navigate a life-changing conversation."
2020,Star Light,"Mitchell Altierri, Lee Cummings",Los Angeles,CA,US,Feature,None,Null,A teen's life is turned upside down when he helps a world-famous pop star on the run to escape her violent pursuers.
2020,Yes,Rob Margolies,New York,NY,US,Feature,None,Null,"Based on Tim Realbuto's critically acclaimed Off-Broadway play, YES tells the story of washed up child star Patrick Nolan, whose life was ruined when he was involved in a scandal involving a minor. Years later, Patrick becomes entranced with a 17-year-old student, who he decides to mentor. What begins as an innocent acting lesson turns into something much more intimate between two surprisingly common minds."
2020,Band Geeks,Morgan Elliott,Ontario,Null,Canada,Documentary,None,Null,"For 70 years, The Burlington Teen Tour Band has been Canada’s Musical Ambassadors. They are Canada’s oldest and largest youth marching band and have literally marched their way around the world. With less than 5 months to go before the Rose Parade, of the 220 current Teen Tour Band members, 60 are brand new to the band! These kids will have to be brought up to speed, learn to march, learn the music (memorizing 15-20 pieces), and learn the field show, get conditioned and uniformed. There is a ton to do and the clock is ticking."
2020,Flint: The Poisoning of an American City,David Barnhart,Atlanta,GA,US,Documentary,Susan Shaffer Humanitarian Award,BIPOC,"100,000 people have been poisoned by lead, a lifelong affliction, yet somehow this shocking event has been normalized in the US. ""Flint: The Poisoning of an American City"" gives voice to the current struggle of city residents and follows the environmental history of the river and how the continued abuse and neglect of city infrastructure and environmental regulations have led to the poisoning of a city."
2020,I Am Patrick Swayze,Adrian Buitenhuis,Null,Null,Canada,Documentary,None,Null,An inside look at the life of Patrick Swayze as told by the people who knew him best.
2020,My Fathers Brothers,Shawn Kelley,Charlotte,NC,US,Documentary,"Best Documentary, Audience Choice",Null,"Jack Kelley, a Citadel graduate, volunteered for Vietnam. As a Captain, he routinely led his company of 140 men on patrols in the jungles of Vietnam. The orders came down from higher command that on June 29, 1966 Capt. Jack Kelley, and the other company commanders, were to spread their platoons 1,000 meters apart in order to cover more area when looking for the Vietcong."
2020,Wind Riders,Emi Katayama,New York,NY,US,Documentary,None,Null,"A feature documentary, “Wind Riders” tells the untold stories of three American balloonists who dedicate their lives to their sport – a masterful solo balloon pilot whose enthusiasm crosses generations and a 2 person team in a high-risk quest to defend their world title."
2020,Born in America,Zhan Luo,Orange,CA,US,Documentary Short,None,BIPOC,"The documentary, Born in America, focuses on a Chinese family who comes to California to have their baby in order to obtain the privilege of American citizenship. Throughout the film, the audience will learn more about ‘birth tourism’ and why many Chinese families and investors are buying into these programs. Is it legal or not? How will American people be affected by birth tourism? The audience will figure this out with the help of these two families, the agencies, lawyers, and professors."
2020,Divided,"Brynne McKee, Jackie Palacios, Benjamin Allen, Jack Mullinkosson",Orange,CA,US,Documentary Short,None,Null,"This film explores the American divide between red and blue post-2016 election, as seen by two queer women on opposite sides of the aisle."
2020,St. Simons: Surviving Success,Lance Lipman,Saint Simons,GA,US,Documentary Short,None,Null,"Two retired filmmakers living on St. Simons Island, GA have created a short documentary to inspire and challenge island residents and visitors to play a more active role in the decisions affecting efforts to preserve the island’s character and charm. The project includes participants’ early island memories, an appreciation of the island’s natural environment and the depiction of current development and infrastructure pressures. The producers’ approach was to make the documentary entertaining, including upbeat pacing, dramatic landscapes and first-person storytelling. We’re attempting to promote island pride and make the issue of preserving St. Simons’ charm and natural beauty at the top of everyone’s mind. The documentary is intended to be a call to action."
2020,Waterproof,Ross Kauffman,South Hampton,NY,US,Documentary Short,Best Documentary Short,Null,"immersive and cinematic, WATERPROOF is the story of one community’s crusade to create a safe swimming environment in East Hampton, New York. Led by the incomparable Big John and Johnny Jr., these lifeguards give the best of themselves to train, compete and ultimately ensure the safety of locals and tourists alike at the eastern end of Long Island."
2020,A Lonely Death,Matthew Suppes,Dodge College,Null,US,Student,Best Student Film,Null,"A quiet cleaner specializing in unattended or “lonely” deaths makes a discovery at an old man’s apartment, which leads him on a path to the man’s estranged daughter, and a new purpose to his life."
2020,Ghazaal,Ragini Bhasin,Dodge College,Null,US,Student,None,Null,"A 13-year-old Afghan refugee hustles around in a refugee camp, trying to survive the harsh circumstances."
2020,Logged On,Cameron McCormick,UNCSA,Null,US,Student,None,Null,A young teenager is trapped in her own home by a much older date after they meet for the first time.
2020,Off With Your Head,Kaitlin Moore,Dodge College,Null,US,Student,None,Null,"In 1850’s London, Cora falls down her personal rabbit hole after being dropped off at an insane asylum, finding solace in the “Wonderland” she has fabricated in her mind. As a reaction to the abandonment by her father, Cora turns into none other than the evil Queen of Hearts."
2020,Painted Loved,Michelle DeGrace,UNCSA,Null,US,Student,None,Null,"Stuck in her dreary job as a debt collector, an old-fashioned dreamer discovers a magical portal to a new world full of life and color."
2020,The Chef,Hao Zheng,AFI,Null,US,Student,None,BIPOC," In the near future, when all labor works are replaced by humanoids, a Chinese chef, Pu (60s) is ordered to pass on his cooking skill to a humanoid robot William and to teach him Chinese cooking. Designed to satisfy his owner, William tries to follow Pu’s every instruction, but his robotic demand for precision and perfection is essentially contradictory to Chinese cooking. At the same time, the protests against AI replacing the human labor are more and more intense. Qiang, Pu’s apprentice is also one of the protestors. Since Qiang disappoints Pu time and time again in cooking, Pu starts to get closer with William, which pushes him to the opposite of human beings. Pu becomes at a loss in this dilemma."
2020,Misguided,Sean Kim,Ringling,Null,US,Animation,Best Animation,Null,"Tom, a clumsy guide retriever, take his eye off his blind master, Albert, because of a tennis ball for a while, and lost him. And Tom chases him to resolve the situation after witnessing he tumbled through the dangerous construction site."
2020,Mockingbird Bird,Katherine Crossan,Clemson,SC,US,Animation,None,Null,Amocking bird and walnut tree experience the change of seasons.
2020,Selfish,Po-Chien Chen,Sheridan College,Null,US,Animation,None,Null,"The film is about human beings are consuming delicious seafood, but sea animals are suffering from the trash we made-- not only do we eat them but also make their living environment poisonous and miserable"
2020,The Hidden River of My Life,Kate Woodward,Emily Carr University,Null,Canada,Animation,None,Null,"A multimedia music video set to Sufjan Stevens’ “The Hidden River of My Life” illustrates a cosmic, yet deeply intimate exploration of humanity: our past, our present, and the places we might go."
2020,Tiffany,Christina Christie,Central Florida,FL,US,Animation,None,Null,"While packing away her deceased grandmother's affairs, Pauline discovers that one of their stained glass sculptures has come to life. As the lights in the house go out and their memories together begin to dim, Pauline realizes there is joy in celebrating the legacy of those who have been lost."
2020,40 Minutes Over Maui,"Michael Feld, Josh Covett",Los Angeles,CA,US,Short,None,Null,"or 40 minutes on January 13, 2018, the fate of the world hung in the balance, for Larry and Penny... their Hawaiian vacation was ruined."
2020,Age of Bryce,"David Feagan, Brian Elliott",Waco,TX,US,Short,None,Null,"mothered by an adoring, over-protective mom, 12-year-old Bryce Yancy Paul (Bip) is pushed to the brink of pubescent revolution. It’s time to ripen. Bloom. Break the shackles of parental paranoia. It’s the Age of Bryce. Sometimes a man’s gotta do what a man’s gotta do."
2020,As One,David Spaltro,New York,NY,US,Short,None,Null,"ill must put one foot in front of the other to move through her grief, and with connection she discovers that every mile has a story."
2020,Auditioning With Mom,Steve Coulter,Marietta,GA,US,Short,None,Null,A sometimes-working-mostly-struggling actor is forced to ask his 80-year-old mom to help him with his TV audition.
2020,Carry My Heart to the Yellow River,Alexis Van Hurkman,Saint Paul,MN,US,Short,None,BIPOC,"Taking her hospitalized friend's place on a bike tour to the Yellow River, a high school graduate travels to faraway Gannan and races the clock to share pictures of the journey."
2020,"Darling, Darling Wendy",Elise Robertson,Los Angeles,CA,US,Short,None,Null,"Fifteen years after her trip to Neverland, Wendy Darling is determined to go back for good. But Peter Pan has other ideas."
2020,Dictators Don't Die,Serkan Ozturk,Essen,Null,Germany,Short,None,Null,"A boy who ran away from Nazi camp begins to live in a forest. He never leaves the forest since then because he fears being abducted by Hitler. After many years, he is found by a nature photographer wandering around his home. She takes him to a senior center. However, he cannot make it in there, he goes back to the forest. Since, he saw the news about refugees and the people died for their freedom, his old fears hunts him again and he believes Hitler has never died and still lives among us."
2020,Entwined,Dale Griffiths Stamos,Santa Barbara,CA,US,Short,None,BIPOC,"Two people in their sixties find themselves standing in front of the same painting at a gallery. Joe is black and Lisa is white and almost 50 years ago, when in high school, they loved each other. Now they must face their troubled past, and feelings that time may not have erased."
2020,Fifty,Javier Dampierre,Los Angeles,CA,US,Short,None,Null,A world-renowned psychiatrist is put to the test when a mysterious patient reveals his true identity.
2020,Hindsight,Ian Kent,Charleston,SC,US,Short,None,Null,A young artist struggling with his identity meets an elderly blind man who offers a way out of restricting one's soul.
2020,Hollowed,Cedric Thomas Smith,Los Angeles,CA,US,Short,None,Null,"After discovering their father is dying of cancer, a family struggles to face their unresolved issues before time runs out."
2020,Kneeling Sheep,Hai Rihan,Los Angeles,CA,US,Short,None,BIPOC,"A Mongolian single mother fights to save her son who is about to be executed, only to discover that the absence of justice is crushing her life."
2020,Method,Robert Grabow,Livingston,MT,US,Short,None,Null,A Machiavellian acting teacher pushes an aspiring actor to her breaking point with his unconventional “method.”
2020,Miner's Mountain,Bennett Pellington,Wilmington,NC,US,Short,Best Short,Null,A sheriff comes under fire when two S.B.I. Agents question his involvement in an unsolved murder that shares distinct similarities with a recent homicide.
2020,Ms Rossi,Pat Battistini,Santa Clarita,CA,US,Short,None,Null,"While on her way to a business meeting, Ms. Rossi takes an interesting detour."
2020,Notice,Phyllis Jackson,Atlanta,GA,US,Short,Best Comedy,Null,He only has to make it one more day before he blows this popsicle stand. Or maybe he'll just blow a gasket.
2020,Pipe Dream,Chris King,Roseville,CA,US,Short,None,Null,"Each year thousands of budding actors take that huge leap of faith and move to L.A. or New York in search of stardom. This is the story of once such actress who, with nothing but her talents and determination, would go from anonymity to Broadway stardom within a few short years. She would later become known as the beloved legend of stage and screen, Carol Burnett."
2020,Poor Baby,KC Allen,Findlay,OH,US,Short,None,Null,"Darlene Tate is nine months pregnant and fiercely independent, and means to raise her baby on her own if she's approved for a loan. When her loan is denied she resorts to desperate measures."
2020,Refuge,Sara Logan Hofstein,Atlanta,GA,US,Short,None,BIPOC,"After her recent move to Vienna, Rachel is overcome by the inherited trauma of her family’s Holocaust past when her life intersects with a homeless Syrian refugee family. With the philosophical guidance of a former Ethiopian refugee, she learns that true healing can begin with a single act of compassion."
2020,Safe & Happy,Richard Ulrich,Saint Louis,MO,US,Short,None,Null,"RAY ROBINSON lives with his second wife, JOLENE, in a small town where they are raising his 13-year-old daughter, SHANNON, whom he brought into the marriage. But when it’s discovered that Shannon has leukemia and Ray is the only DNA match for her, Ray’s life suddenly starts to unravel."
2020,Silencer,Ahmed Lucan,Atlanta,GA,US,Short,None,Null,"A school shooting might stay in the news cycle for a few days, a week, maybe a month; so common have they become. But the repercussions of a shooting on the families of the victims, and on the family of the shooter, will last forever - leaving only the silence of tragedy behind. 'Silencer' is the story of two mothers trying to reclaim their voices after a parent's worst nightmare."
2020,Stop,James Brown-Orleans,Burbank,CA,US,Short,None,Null,A routine traffic stop finds a New York State Trooper face to face with a storied stranger from his past. The chance encounter powerfully alters their fates...again. 
2020,The 11th Order,Joshua Defour,Atlanta,GA,US,Short,Santini Patriot Spirit Award,Null,"The true story of two U.S. Marines who, in a span of six seconds, must stand their ground to stop a suicide truck bomb and protect the lives of the 150 Marines and Iraqi Police behind them."
2020,The Keeper,Bob Celli,New York,NY,US,Short,None,Null,Null
2020,The Long Commute,Miguel Garzon Martinez,New York,NY,US,Short,None,Null,A workaholic businessman attempting to reconnect with his estranged father discovers that time is unforgiving.
2020,Trapped,Billy Chizmar,Bel Air,MD,US,Short,None,Null,"When her weekend hike goes horribly wrong, Katie must use every ounce of strength to survive -- but is it enough? From the minds of Stephen King and Richard Chizmar."
2020,Truce,John Niespodzianski,Boiling Springs,SC,US,Short,None,Null,"John Micelli sits in a hospital room, his mind and soul fractured after returning from Vietnam. His loving family is shattered as he tries to pick up the pieces and return to the man he once was. TRUCE tells the story of our wounded warriors"
2021,A Shot Through the Wall,Aimee Long,New York,NY,US,Feature,Best Feature,BIPOC,A young Chinese-American cop unravels after accidentally shooting an innocent African-American man through a wall.
2021,Electric Jesus,Chris White,Greenville,SC,US,Feature,None,Null,"ELECTRIC JESUS is a wistful coming-of-age music-comedy reminiscent of THE COMMITMENTS, THAT THING YOU DO, and SING STREET—a rock-and-roll movie about a band that never quite makes it. While the screen band’s music is a weird mash-up of 80’s hair metal and Sunday school, ELECTRIC JESUS wears its heart on its sleeve, ala THE BREAKFAST CLUB, LADY BIRD, and ALMOST FAMOUS."
2021,Night Into Day,Ben Hall,Los Angeles,CA,US,Feature,None,Null,"James and Katie Shaw, a couple in the middle of a divorce, are caught together on the outskirts of a nuclear attack in Los Angeles. With chaos reigning outside and the threat of nuclear fallout, the two decide to stay put inside their damaged apartment and wait for rescue only to be antagonized by outside forces"
2021,One Moment,Deirdre O'Connor,New York,NY,US,Feature,None,Null,"One Moment is a humorous, heartwarming story of middle-age siblings struggling to manage their own lives while also caring for their recently widowed aging father. Welcome to the ""Sandwich Generation."""
2021,Invitation to the Dance,Sarah Shoemaker,Greenville,SC,US,Documentary,None,Null,"Invitation to the Dance introduces Lena Forster and her adult special needs ballet class. Filmmaker Sarah Shoemaker follows five students through a year of dance and life, offering viewers the opportunity to glimpse a perspective frequently overlooked, to listen to voices frequently unheard, and to witness the experiences of those who are impacted by the dancers. The film seeks to explore questions about life, community, and our ability to appreciate both the gifts and the limits of each of us."
2021,Navigating Thru,Lindsay Taylor Jackson,Acton,MA,US,Documentary,None,Null,"Navigating THRU follows the journey of several women as they hike 2,200 miles along the Appalachian Trail."
2021,The Hills I Call Home,Ashton Gleckman,Carmel,ID,US,Documentary,None,Null,"The Hills I Call Home is an exploration into the town of Beattyville, a rural settlement located deep in the heart of the American Appalachian Mountains. Though it's one of America's poorest towns - it's home to a tight-knit community who binds together to push through hard times."
2021,Mr. Myrtle Beach,Joel Allen,Myrtle Beach,SC,US,Documentary Short,None,Null,A look at the history of Myrtle Beach through the lens of Jack Thompson.
2021,ProdogTV,Randall Owens,Greenville,SC,US,Documentary Short,Best Documentary Short,Null,A docuseries about professional dogs
2021,Roots of Lacrosse,"Shelby Tsiower, Joanne Storkan",Pebble Beach,CA,US,Documentary Short,None,Null,"Many lacrosse players and coaches often don’t know that the origins of the game of lacrosse has its roots in North American Indigenous nations. This short documentary provides a brief history of the sacred and cultural aspects of this sport, originally played for the Creator, as well as for the health and welfare of the people. The movie also defines the three types of North American, Indigenous lacrosse: Iroquois, Great Lakes, and Southeastern."
2021,Thoughts and Prayers,Hope Ballard,Highlands Ranch,CO,US,Documentary Short,Humanitarian Award,Null,"Gun violence has been heavily prevalent in the lives of young adults such as the filmmaker, Hope Ballard. This film documents Hope's personal journey as she works with a civil rights expert, a father of a Columbine victim, and a gun enthusiast in search of answers to the gun violence crisis in America. "
2021,A Band to Honor,Warren Hull,Las Vegas,NV,US,Duty & Honor,None,Null,"A Band to Honor is a documentary feature film that uses archival footage, photographs, and personal interviews to tell the story of 21 young naval musicians. These individuals were among the 1,177 USS Arizona members who lost their lives when the Empire of Japan attacked Pearl Harbor on December 7, 1941. "
2021,Bastard's Road,Brian Morrison,Crofton,MD,US,Duty & Honor,None,Null,"With remarkable honesty, insight and humor, Marine veteran Jon Hancock's 6000 mile journey is uniquely positive. It’s about changing the ways one relates to traumatic memories. It’s about beginning the healing process."
2021,The Girl Who Wore Freedom,Christian Taylor,Wheaton,IL,US,Duty & Honor,Audience Choice,Null,"The journey from occupation to liberation, to acceptance and forgiveness to gratitude and pride, is explored through interviews with French survivors and American veterans in this powerful, personal film that tells stories handed down over two generations."
2021,Alina,Rami Kodeih,Brentwood,CA,US,Short,None,Null,"As Nazis separate children from their parents in the Warsaw Ghetto, a gang of women risks everything to smuggle their friend's three-month-old baby to safety. Inspired by true events. Starring Alia Shawkat (ARRESTED DEVELOPMENT, SEARCH PARTY), Edin Gali (MAD MEN), Dorota Puzio, Rebeca Robles (BETTER THINGS), Erika Soto (VIDA), and Mark McCullough (LOGAN LUCKY)."
2021,Bandwith,"Pat Battistini, Robert Francke",Santa Clarita,CA,US,Short,None,Null,"Frank's important job interview on Zoom goes south due to his ""stay at home"" Covid precautious family using up his bandwidth."
2021,Calf Rope,Bradley Hawkins,Landisville,PA,US,Short,None,Null,"During the summer of '66, a former rodeo champion and cattle auctioneer from Oklahoma bonds tightly with his young grandson from suburban Pennsylvania while teaching him a few tricks from his previous trades. Shot entirely in rural Pennsylvania, Calf Rope captures the intense love that grandparents often share with their grandchildren and the legacy that lives on long after they have gone."
2021,Dirty Little Secret,Dale Griffiths Stamos,Santa Barbara,CA,US,Short,None,Null,"Nick thinks he can breeze through these therapy sessions with the court appointed psychologist, Dr. Dana Reynolds. After all he's Nicholas P. Berenger - he's charmed or bought himself out of worse situations than this. But soon he realizes that Dr. Reynolds may have something on him, and it's not pretty."
2021,Exit Zero,Page Cooper Anderson,New York,NY,US,Short,None,Null,"A set of dysfunctional twins, down on their luck, inherit a house they hope to sell for ready cash only to discover it is inhabited by their dreadful dead relatives. A new plan is hatched that promises a way to make a living off of the dead."
2021,For Your Consideration,Poppy Gordon,Brooklyn,NY,US,Short,None,Null,"Determined to party at Sundance, three entitled young women meet up at an LA member's only club to make a selection-worthy short film. In an unholy fusion of wokeness and cluelessness, they build a narrative from atop the high perch of their privilege. And piece-by-piece, they almost, almost, almost give a voice to the voiceless — just without ever having any idea what they're talking about. But they are perfectly positioned to make it happen."
2021,Going My Way,Rob Margolies,Los Angeles,CA,US,Short,None,Null,"When a devoted wife, mother, and grandmother, receives devastating news about her health, she decides to live the remainder of her life on her own terms – possibly foregoing the wishes of her family."
2021,Graceland,Bonnie-Kathleen Ryan,Los Angeles,CA,US,Short,None,Null,Anna Camp stars as a southern mom whose life is all-shook-up when her fourth grader claims to be reincarnation of the king of 'rock-n-roll
2021,Hallways and Doors,JP Brennan,Los Angeles,CA,US,Short,Best Short,Null,"After a dedicated LAPD officer kills a woman's husband during a domestic disturbance call, his life is shattered. The only person who can save him from ending his own life is the widow of the man he killed."
2021,Hung Up,Damon Osteen,Lubbock,TX,US,Short,None,Null,"Shattered Texan Latina bull rider Patty “Duke” (Melissa Jackson, THE NEXT THREE DAYS), risks paralysis to ride again. Co-starring Kevin Kane (THE IRISHMAN) and Catherine Curtin (STRANGER THINGS). "
2021,Javelina Run,Lisa Belcher,Austin,TX,US,Short,None,Null,Two idiot ranch hands pretend to be fugitive train robbers to get attention from the ladies at an old west saloon.
2021,Less Heat in Arizona,Tom Wardach,Pittstown,NJ,US,Short,None,Null,"seasoned thief, Stan, pulls together two mismatched men for a big payoff heist. Slade, is ruthless and dangerous; his unwilling partner, Lee, is a timid, desperate accountant. During the commission of the crime, their true intentions come to light with wildly unexpected results."
2021,"Like Daughter, Like Mother",Clyde Baldo,New York,NY,US,Short,None,Null,A mother and daughter navigate the world of online dating together.
2021,Lunch Hour With the President,Pamela Perrine,Atlanta,GA,US,Short,None,Null,"A married couple's conversation over morning coffee, shifts from political to heartwarming, when a grandfather shares his excitement about the gift to his grandson, that gets more exposure than he ever imagined."
2021,Mend,Shannon Eubanks,Acworth,GA,US,Short,None,Null,"After the loss of his wife, Marv Waters is stuck in a lonely routine meant for two. But what he doesn't see is that the purpose and community he craves exist just outside his front door."
2021,Monarch Butterfly,Clyde Baldo,New York,NY,US,Short,None,Null,What would you do and how far would you go to keep a loved one?
2021,Now You See Me,Romina Schwelder,Brooklyn,NY,US,Short,None,Null,"Two actresses ""of a certain age"" compete fiercely for a role in a TV commercial, but as their audition approaches, the lifelong rivals discover that they are in the presence of a much larger threat: A society that finds them invisible!"
2021,Oddly Popular,Fred Gallo,Capistrano Beach,CA,US,Short,None,Null,Four fortuneless females have a hard time navigating daily life. Things get even more complicated when an accidental text inadvertently lands them their own reality show.
2021,Patiri in the Promised Land,"Page Cooper Anderson, Dana Schoenfeld",New York,NY,US,Short,None,BIPOC,"A young immigrant from Zimbabwe, befriends a bookstore owner in hopes of forming an alliance that could help her remain in her country of choice. Her own lies create an outcome she could never have predicted."
2021,Plot,Jeremy Folmer,New York,NY,US,Short,None,Null,"Tensions rise in the RiverPoints Community Playroom, as thirteen diverse Garden Club members slog through a never-ending bi-annual meeting run by the self-appointed leader Wang Fang. Interspersed between the meeting and its sudden unexpected turn are interviews with the gossipy New Age couple, the Frenchman and his alcoholic wife, the Old timers, the Millennial newcomers, and others."
2021,Rent Do,Gavin Michael Booth,Verdun,Null,Canada,Short,None,Null,"Rent Do follows Rich, Winnie and Pete, roommates and reluctant best friends. When each one is unceremoniously fired on the same day, they’re forced to start job hunting. But after Winnifred takes matters into her own hands, all three are forced into hiding. Paying rent becomes the least of their concerns."
2021,Retirement Day,Cedric Thomas Smith,San Antonio,TX,US,Short,None,Null,"After 30 years of employment, Joe retires from his job so that he can spend the rest of his time with the love of his life, Eva."
2021,Silent Notes,Kiki Tsakalakis,New Canaan,CT,US,Short,None,BIPOC," A misunderstood, deaf, white young man longs to join a black Baptist choir that he secretly admires, in hopes of becoming part of the community. "
2021,Sweatbox,Nate O'Mahoney,Mount Pleasant,SC,US,Short,None,Null,"Two children are trapped inside during a lethal heatwave when a criminal arrives, begging for shelter."
2021,The Astronaut,Joey Connolley,Wilmington,NC,US,Short,None,Null,An imaginative child must overcome the loss of his father before moving out of the memory-filled house they shared.
2021,The Mushroom Huntress,Jim Picariello,Brookesville,ME,US,Short,None,Null,"after Leigh is cut off from her cold, wealthy mother, and witnesses the arrest of her loving-yet-scheming father, she attempts to support herself by capitalizing on her love of wild mushrooms. But while foraging along the forest floor she discovers a shocking family secret."
2021,The Sands of Time,James Hughes,Lutterworth,Null,United Kingdom,Short,None,Null,A Time Portal in the Sands Brings a Young Couple Together
2021,The Violin,Jon Rosenbloom,New York,NY,US,Short,None,Null,"Matthew Rhys (The Americans, A Beautiful Day in The Neighborhood) portrays a recent divorcee in a nuanced film about music, regret, and hope in a cruel world."
2021,Writer's Block,Danel Hamby,Charlotte,NC,US,Short,None,Null,"Every filmmaker has heard the phrase, ""Write what you know,"" but what happens when it's taken too far? A filmmaker suffering from writer's block on his murder mystery feature film takes the advice ""write what you know"" too literally. "
2021,Victim No 6,Nancy Menagh,New York,NY,US,Short,None,Null," It's 1975 in New York City, which has been unaffectionately dubbed ""Fear City"" by the Council for Public Safety. Donna stands in front of a derelict newsstand, smoking a cigarette and reading the headline: ""The City Slasher Trashes Another Victim. Who Will be Next?"""
2021,Applebaum,Edward Loupe,Athens,OH,US,Student,None,Null,A dying man and his nurse have one last conversation. It changes her life forever.
2021,Born to See,Kristina Usaite,Brooklyn,NY,US,Student,None,Null,"Overwhelmed with giving him independence, the mother of a blind boy struggles with their first separation and watches the world she built for him shatter."
2021,Fish Out of Water,Alyssa Asaro,Vaughan,Null,Canada,Student,None,Null,"Fish Out of Water follows the story of 12-year old Henry, a non-verbal boy with Cerebral Palsy. While facing a difficult transition into school and with his brother growing more distant, Henry comes in contact with an alien. "
2021,Oasis,Matthew Wassong,Westchester,NY,US,Student,None,Null,"in the near future, Earth has completely run out of fresh water. In a world of dehydration and desperation, a curious young man and a mysterious woman both go to great lengths to get the one thing everyone needs to survive."
2021,Out of Stock,Bryan Taira,Vista,CA,US,Student,None,Null,"n 1973, the host of The Tonight Show, Johnny Carson, made a joke that toilet paper was going out of stock. By the next day, stores across the country were completely sold out."
2021,Rosie,Tessa Germaine,Trabuco Canyon,CA,US,Student,None,Feminist,"n 1943 America, factory worker Rose Donnelly must stand up for her female co-workers when their supervisor ignores blatant harassment and refuses to treat them as equals to their male co-workers. Based on the “We Can Do It!” poster by artist J. Howard Miller."
2021,Take Care,Cameron McCormick,Winston-Salem,NC,US,Student,None,Null,"Tasked with raising her younger siblings, a teenage girl must decide whether to pursue a social life or continue as a caretaker in the wake of her mother’s addiction."
2021,The Cake,Meital Cohen Navarro,Los Angeles,CA,US,Student,None,Null,"A woman in her 80’s discovers a letter from her late husband which reveals a secret he has kept from her for over 40 years. The secret involves her best friend whom she has known most of her life. She decides to confront her friend over a Sunday afternoon tea, despite the many years that has passed. In the end, their regular afternoon tea takes an unexpected turn."
2021,The Punishment,Christ Sexton Fletcher,Bradenton,FL,US,Student,Best Student Film,Null,A grief-stricken father hunts down the boy responsible for the events which led to his son’s murder but finds himself unable to escape the consequences of his own violent actions.
2021,The Story of My Grandma,Zhang Xiaoyu,Nantong Jiangsu,Null,China,Student,None,BIPOC,"Rebellious Tiantian left for her grandmother, Orchid Qiu, who lives thousands of miles away in a southern town. In the old house, estranged grandma and granddaughter gradually become familiar with each other. However, after a quarrel, Tiantian accidentally broke an old wedding photo. This accident broke the peace of the old house."
2021,Toomsboro,Laim Tangum,Orange,CA,US,Student,None,Null,Two brothers in a small Georgia town find a large sum of money in a crashed car and have different ideas about what to do with it.
2021,Identity Crisis,Natalie Nichols,Costa Mesa,CA,US,Animation,None,Null,"A cyborg named Scott is looking for the perfect gift for a loved one, but not all is well in this futuristic city when he finds his own picture on a wanted poster...."
2021,In Our Nature,Echo Wilson,Winston-Salem,NC,US,Animation,None,Null,An animated documentary exploring humanity’s relationship with nature through a world of interviewed “animals.”
2021,Rocky Road,"Madison Crisp, Victoria Sosa",Winston-Salem,NC,US,Animation,None,Null,"Rocky Road is the story of a socially anxious foster child, Maní, connecting to her community through her adopted mother’s ice cream stand. As she grows up, Maní learns the importance of family, community, and self-confidence through her foster mother’s teachings."
2021,Shimmery,Tzu Yi Yang,New York,NY,US,Animation,None,Null,"Shimmery is a surreal, narrative animation whose style combines 3D and 2D graphic elements. A gentle beast searches for light in a dark forest taking the audience on an exploration of addiction at its essence."
2021,Two Different Kinds of Love,Alyce Vest,Oakland,NC,US,Animation,Best Animation,Null,A little girl is excited to discover more about her adoption story.
